"subj" "expt" "item" "lang" "session" "trial" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT" "syll_len" "word_lex" "word_complex" "word_freq" "type_freq" "word_bifreq" "type_bifreq" "word_len" "block" "PB" "IC" "SC"
"1" 10 "hnd1" "6" "Hindi" 1 "10" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 "दरअसल" 0 37 37 NA NA 5 2 1 0 1
"2" 10 "hnd1" "6" "Hindi" 1 "10" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "वह" 0 835 6262 1 2 2 2 2 0 1
"3" 10 "hnd1" "6" "Hindi" 1 "10" 3 210 1 0 278 278 278 278 278 0 0 0 0 0 278 2 "इस" 0 3071 8126 25 296 2 2 3 0 2
"4" 10 "hnd1" "6" "Hindi" 1 "10" 4 0 0 0 0 0 0 0 278 0 0 0 0 0 0 3 "फिल्म" 1.5 107 135 11 20 5 2 3 0 1
"5" 10 "hnd1" "6" "Hindi" 1 "10" 5 0 0 0 0 0 0 0 278 0 0 0 0 0 0 1 "को" 0 8766 25348 6 25 2 2 3 0 1
"6" 10 "hnd1" "6" "Hindi" 1 "10" 6 0 0 120 120 120 120 120 398 0 0 0 0 0 120 3 "सबसे" 0.5 228 224 8 80 4 2 6 0 1
"7" 10 "hnd1" "6" "Hindi" 1 "10" 7 0 0 212 212 212 212 332 730 0 0 0 1 1 212 3 "पहले" 0.5 700 587 24 23 4 2 6 0 1
"8" 10 "hnd1" "6" "Hindi" 1 "10" 8 362 1 362 362 362 362 694 1424 0 0 0 1 1 362 5 "प्रधानमंत्री" 2.5 569 571 8 7 12 2 8 0 1
"9" 10 "hnd1" "6" "Hindi" 1 "10" 9 296 1 296 296 296 296 296 1720 0 0 0 0 0 296 5 "मनमोहन" 0 244 245 152 152 6 2 8 0 1
"10" 10 "hnd1" "6" "Hindi" 1 "10" 10 0 0 0 0 0 0 0 1720 0 0 0 0 0 0 2 "सिंह" 1.5 1009 1007 217 216 4 2 8 0 1
"11" 10 "hnd1" "6" "Hindi" 1 "10" 11 246 1 246 246 246 246 246 1966 0 0 0 0 0 246 1 "को" 0 8766 25348 72 136 2 2 8 0 1
"12" 10 "hnd1" "6" "Hindi" 1 "10" 12 154 1 154 154 154 154 154 2120 0 0 0 0 0 154 3 "दिखाना" 1 5 140 1 NA 6 2 12 12 1
"13" 10 "hnd1" "6" "Hindi" 1 "10" 13 0 0 0 0 0 0 0 2120 0 0 0 0 0 0 3 "चाहते" 0.5 141 343 2 2 5 2 13 21 0
"14" 10 "hnd1" "6" "Hindi" 1 "10" 14 0 0 0 0 0 0 0 2120 0 0 0 0 0 0 1 "हैं" 1 3449 14482 95 214 3 2 13 0 0
"15" 10 "hnd1" "6" "Hindi" 1 "10" 15 0 0 0 0 0 0 0 2120 0 0 0 0 0 0 1 "।" 0 19415 18846 2296 8730 1 2 13 0 0
"16" 10 "hnd1" "7" "Hindi" 1 "11" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 "देवानंद" 1 3 2 NA NA 7 2 1 0 1
"17" 10 "hnd1" "7" "Hindi" 1 "11" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 "ने" 0.5 6947 12697 3 NA 2 2 1 0 1
"18" 10 "hnd1" "7" "Hindi" 1 "11" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "कल" 0 60 60 2 6 2 2 3 0 1
"19" 10 "hnd1" "7" "Hindi" 1 "11" 4 0 0 154 154 154 154 154 154 0 0 0 0 0 154 2 "एक" 0 2107 2116 1 1 2 2 4 0 2
"20" 10 "hnd1" "7" "Hindi" 1 "11" 5 300 1 300 300 300 300 454 608 0 0 0 1 1 300 2 "टीवी" 0 34 34 5 5 4 2 4 0 1
"21" 10 "hnd1" "7" "Hindi" 1 "11" 6 0 0 0 0 0 0 0 608 0 0 0 0 0 0 3 "चैनल" 0.5 20 40 6 13 4 2 4 1 1
"22" 10 "hnd1" "7" "Hindi" 1 "11" 7 0 0 0 0 0 0 0 608 0 0 0 0 0 0 1 "से" 0.5 7203 25348 4 4 2 2 4 0 1
