"subj" "item" "TFT" "syll_len" "word_complex" "word_freq" "type_freq" "word_bifreq" "type_bifreq" "word_len" "IC" "SC"
"1" 10 6 0 5 0 37 37 NA NA 5 0 1
"2" 10 6 0 2 0 835 6262 1 2 2 0 1
"3" 10 6 278 2 0 3071 8126 25 296 2 0 2
"4" 10 6 0 3 1.5 107 135 11 20 5 0 1
"5" 10 6 0 1 0 8766 25348 6 25 2 0 1
"6" 10 6 120 3 0.5 228 224 8 80 4 0 1
"7" 10 6 212 3 0.5 700 587 24 23 4 0 1
"8" 10 6 362 5 2.5 569 571 8 7 12 0 1
"9" 10 6 296 5 0 244 245 152 152 6 0 1
"10" 10 6 0 2 1.5 1009 1007 217 216 4 0 1
"11" 10 6 246 1 0 8766 25348 72 136 2 0 1
"12" 10 6 154 3 1 5 140 1 NA 6 12 1
"13" 10 6 0 3 0.5 141 343 2 2 5 21 0
"14" 10 6 0 1 1 3449 14482 95 214 3 0 0
"15" 10 6 0 1 0 19415 18846 2296 8730 1 0 0
"16" 10 7 0 4 1 3 2 NA NA 7 0 1
"17" 10 7 0 1 0.5 6947 12697 3 NA 2 0 1
"18" 10 7 0 2 0 60 60 2 6 2 0 1
"19" 10 7 154 2 0 2107 2116 1 1 2 0 2
"20" 10 7 300 2 0 34 34 5 5 4 0 1
"21" 10 7 0 3 0.5 20 40 6 13 4 1 1
"22" 10 7 0 1 0.5 7203 25348 4 4 2 0 1
"23" 10 7 282 4 0 289 548 111 92 6 1 1
"24" 10 7 0 1 0.5 18820 25348 43 189 2 0 2
"25" 10 7 212 3 0 485 486 412 2 5 0 1
"26" 10 7 0 3 0 816 1026 2 2 5 16 0
"27" 10 7 0 1 1 6478 25348 655 9 2 0 1
"28" 10 7 216 2 0 835 6262 253 71 2 0 1
"29" 10 7 200 2 0 447 449 2 10 2 0 2
"30" 10 7 0 3 0.5 1 184 NA NA 5 0 1
"31" 10 7 228 1 0.5 7203 25348 1 NA 2 0 1
"32" 10 7 0 3 0 539 1621 21 46 4 0 2
"33" 10 7 170 2 0 181 365 6 6 2 0 2
"34" 10 7 254 3 1.5 107 135 3 3 5 1 1
"35" 10 7 0 1 0 8766 25348 6 25 2 0 1
"36" 10 7 0 2 0 3071 8126 144 325 2 0 2
"37" 10 7 294 5 1 NA NA NA NA 8 0 1
"38" 10 7 0 1 1 12692 25348 NA NA 3 0 1
"39" 10 7 272 3 1 404 403 178 4 5 0 1
"40" 10 7 0 2 0.5 2830 NA 24 NA 4 0 1
"41" 10 7 360 3 0 369 9800 19 NA 4 10 0
"42" 10 7 356 3 0.5 141 343 24 63 5 24 0
"43" 10 7 0 1 0 19415 18846 11 39 1 0 0
"44" 10 8 0 2 0 835 6262 NA NA 2 0 1
"45" 10 8 0 3 0.5 700 587 4 18 4 0 1
"46" 10 8 0 3 0.5 826 1621 6 6 4 0 2
"47" 10 8 310 5 2.5 569 571 1 1 12 0 1
"48" 10 8 0 1 0 8766 25348 28 45 2 0 1
"49" 10 8 252 2 0 1750 8126 88 325 2 0 1
"50" 10 8 0 3 1.5 107 135 9 20 5 0 1
"51" 10 8 254 3 1 5 140 1 3 6 8 1
"52" 10 8 228 3 0.5 141 343 2 2 5 7 0
"53" 10 8 0 1 1 3449 14482 95 214 3 0 0
"54" 10 8 0 1 0 19415 18846 2296 8730 1 0 0
"55" 10 9 0 4 1 3 2 NA NA 7 0 1
"56" 10 9 0 1 0.5 6947 12697 3 NA 2 0 1
"57" 10 9 434 3 0 816 1026 405 29 5 1 0
"58" 10 9 0 1 1 6478 25348 655 9 2 0 1
"59" 10 9 356 3 0 400 6262 39 71 4 0 2
"60" 10 9 312 2 0 1750 8126 3 296 2 0 2
"61" 10 9 0 3 1.5 107 135 9 20 5 1 1
"62" 10 9 318 2 0 21 21 NA NA 2 0 1
"63" 10 9 0 4 0.5 63 64 NA NA 5 0 1
"64" 10 9 368 1 0 8766 25348 31 2 2 0 1
"65" 10 9 0 3 1 2 3 1 NA 5 0 1
"66" 10 9 0 2 0 232 5915 1 3 4 6 0
"67" 10 9 0 1 0 19415 18846 159 886 1 0 0
"68" 10 10 0 2 0 616 672 NA NA 3 0 1
"69" 10 10 826 3 0 72 72 1 1 3 0 1
"70" 10 10 0 1 0 1646 14482 1 13 2 1 0
